id_pedido,cliente_id,nome_cliente,email,produto,categoria,quantidade,preco_unitario,desconto,data_pedido,estado,status,avaliacao
PED-0111,CLI-6404, Diego Souza,diego.souza32@gmail.com,Notebook Dell,TV e Video,4,,0.1,03/03/2024,Sao Paulo,pendente,6
PED-0112,CLI-2217,Ana Silva,ana.silva98gmail.com,SSD 1TB,Informatica,6,887.87,0.03,N/A,Sao Paulo,cancelado,4
PED-0113,,Carla  Mendes,carla..mendes93@gmail.com,Monitor LG 24,Mobile,6,349.23,0.32,N/A,SP,Pendente,2
PED-0114,CLI-7652,Diego Souza,diego.souza90@gmail.com,iPhone 14,TV e Video,3,1242.8,0.04,2024-02-11,RJ,entregue,0
PED-0115,CLI-2562,Ana Silva,ana.silva30@gmail.com,SSD 1TB,Eletronicos,1,3529.08,0.11,06-12-2023,S P,devolvido,5
PED-0116,CLI-2260, Diego Souza,diego.souza31@gmail.com,Monitor LG 24,TV e Video,1,-937.8,0.15,28-05-2023,Sao Paulo,pendente,2
PED-0117,CLI-5478,BRUNO COSTA,bruno.costa63@gmail.com,Monitor LG 24,Acessorios,1,533.54,0.07,N/A,GO,Pendente,N/A
PED-0118,CLI-6909,Ana Silva,ana.silva40@gmail.com,iPhone 14,TV e Video,5,4000.37,0.03,07-06-2023,RJ,ENTREGUE,0
PED-0119,CLI-7779,Bruno Costa,bruno.costa93@gmail.com,Monitor LG 24,TV e Video,7,561.3,0.27,N/A,BA,ENTREGUE,5
PED-0120,CLI-5040,BRUNO COSTA,bruno.costa77@gmail.com,Mouse Logitech,Acessorios,8,772.38,0.0,20/03/2023,MG,Cancelado,N/A
PED-0121,CLI-4290,Carla Mendes,carla.mendes51@gmail.com,Teclado Mecanico,Mobile,6,2181.55,0.39,04/11/2023,Rio,devolvido,
PED-0122,CLI-1440,BRUNO COSTA,bruno.costa91@gmail.com,Webcam Logitech,Acessorios,7,1856.83,0.33,04-07-2023,Rio,Entregue,N/A
PED-0123,CLI-8851,Carla  Mendes,carla..mendes65@gmail.com,SSD 1TB,Informatica,5,1248.0,0.32,17/03/2023,GO,entregue,0
PED-0124,CLI-7547,Fabio Lima,fabio.lima56@gmail.com,Tablet Samsung,Eletronicos,2,3856.32,0.18,15-02-2023,BA,cancelado,0
PED-0125,CLI-8460,Carla  Mendes,carla..mendes62@gmail.com,Samsung TV 55,Acessorios,1,2439.72,0.13,26/05/2023,Rio,devolvido,2
PED-0126,CLI-7985,Diego Souza,diego.souza52@gmail.com,Notebook Dell,Acessorios,2,3401.84,0.16,28-06-2023,Sao Paulo,Pendente,4
PED-0127,CLI-9796,Fabio Lima,fabio.lima26@gmail.com,SSD 1TB,TV e Video,7,1974.74,0.24,06-03-2023,sp,pendente,2
PED-0128,CLI-2931,Bruno Costa,bruno.costa24@gmail.com,Teclado Mecanico,Acessorios,8,3105.95,0.24,28-03-2023,GO,Pendente,N/A
PED-0129,CLI-6154, Diego Souza,diego.souza07@gmail.com,Samsung TV 55,Mobile,9,3482.49,0.08,16/05/2024,sp,ENTREGUE,0
PED-0130,CLI-4613,Elisa Ferreira,elisa.ferreira29@gmail.com,Monitor LG 24,Mobile,7,3439.25,0.22,N/A,sp,devolvido,2
PED-0131,CLI-5055,Ana Silva,ana.silva58@gmail.com,Mouse Logitech,TV e Video,6,2733.11,0.35,12/08/2023,RJ,devolvido,4
PED-0132,CLI-6747, Diego Souza,diego.souza69@gmail.com,Fone JBL,TV e Video,6,4312.19,0.23,2023-07-31,PR,Cancelado,0
PED-0133,CLI-6277,ana silva,ana.silva63@gmail.com,iPhone 14,Informatica,7,4597.91,0.15,2023-05-16,Sao Paulo,Pendente,2
PED-0134,CLI-8511,Fabio Lima,fabio.lima09@gmail.com,Webcam Logitech,TV e Video,5,3488.78,0.2,03-01-2023,GO,cancelado,5
PED-0135,,Carla Mendes,carla.mendes57@gmail.com,Teclado Mecanico,TV e Video,10,696.44,0.4,2023-02-19,GO,cancelado,5
PED-0136,CLI-6005,Diego Souza,diego.souza55@gmail.com,Samsung TV 55,Acessorios,2,3290.21,0.19,2023-06-19,SP,cancelado,4
PED-0137,CLI-7276,Bruno Costa,bruno.costa14@gmail.com,Monitor LG 24,Mobile,1,89.91,0.31,16/05/2023,MG,Pendente,3
PED-0138,CLI-7745,BRUNO COSTA,bruno.costa28@gmail.com,Samsung TV 55,Eletronicos,9,2838.29,0.14,07-08-2023,RJ,Pendente,3
PED-0139,CLI-4366,Carla  Mendes,carla..mendes25@gmail.com,Fone JBL,Acessorios,2,1278.43,0.2,28-01-2023,SP,cancelado,6
PED-0140,CLI-7895,Carla Mendes,carla.mendes98@gmail.com,Tablet Samsung,Eletronicos,9,,1.82,2023-11-21,RJ,entregue,1
PED-0141,CLI-3501,Elisa Ferreira,elisa.ferreira11@gmail.com,Webcam Logitech,TV e Video,5,3161.42,0.16,26-03-2023,MG,pendente,2
PED-0142,CLI-3877,Carla Mendes,carla.mendes90gmail.com,Mouse Logitech,Mobile,4,336.63,0.07,26/02/2023,RS,Cancelado,5
PED-0143,CLI-6900, Diego Souza,diego.souza22@gmail.com,iPhone 14,Eletronicos,6,4045.18,0.09,20/03/2023,RJ,Entregue,1
PED-0144,CLI-7870,Diego Souza,diego.souza54@gmail.com,Notebook Dell,Informatica,1,2385.23,0.05,06-02-2023,RJ,pendente,1
PED-0145,,Diego Souza,diego.souza38@gmail.com,Samsung TV 55,Informatica,9,4908.0,0.19,17/10/2023,S P,cancelado,6
PED-0146,CLI-7164,Elisa Ferreira,elisa.ferreira14@gmail.com,Fone JBL,TV e Video,4,-795.3,0.38,N/A,GO,devolvido,3
PED-0147,CLI-2391,Carla  Mendes,carla..mendes18@gmail.com,Mouse Logitech,Eletronicos,1,4610.31,0.17,17/01/2024,S P,entregue,4
PED-0148,CLI-4321, Diego Souza,diego.souza14@gmail.com,Mouse Logitech,Acessorios,6,4633.91,0.16,08/04/2024,sp,pendente,4
PED-0149,CLI-6370,Diego Souza,,SSD 1TB,Acessorios,8,1361.79,0.33,2023-02-11,PR,Cancelado,N/A
PED-0150,CLI-4641,ana silva,ana.silva48@gmail.com,SSD 1TB,TV e Video,9,1286.77,0.37,2023-01-13,RJ,Cancelado,2
PED-0151,CLI-8096,ana silva,ana.silva64gmail.com,Fone JBL,Mobile,3,505.29,0.09,2024-04-17,MG,pendente,5
PED-0152,CLI-7275,Diego Souza,diego.souza83@gmail.com,SSD 1TB,Informatica,1,3089.83,0.4,2024-05-05,Sao Paulo,entregue,
PED-0153,CLI-1480,Elisa Ferreira,elisa.ferreira08@gmail.com,SSD 1TB,TV e Video,8,1752.97,0.39,27/01/2023,RS,cancelado,4
PED-0154,CLI-3846, Diego Souza,diego.souza41@gmail.com,Mouse Logitech,TV e Video,1,3832.05,0.28,02/02/2024,S P,entregue,3
PED-0155,CLI-1011, Diego Souza,diego.souza26@gmail.com,Tablet Samsung,Informatica,,-2733.52,0.02,2023-08-13,MG,pendente,3
PED-0156,CLI-3235,ana silva,ana.silva82@gmail.com,iPhone 14,TV e Video,6,4804.77,0.09,14/04/2023,MG,pendente,3
PED-0157,CLI-6213, Diego Souza,diego.souza29@gmail.com,Webcam Logitech,Acessorios,5,680.37,0.13,N/A,sp,ENTREGUE,
PED-0158,CLI-2110,Bruno Costa,bruno.costa93gmail.com,Teclado Mecanico,Informatica,2,4117.23,0.39,12/01/2023,Rio,Pendente,6
PED-0159,CLI-1547,Fabio Lima,fabio.lima34@gmail.com,Webcam Logitech,Acessorios,9,1907.97,0.06,2023-08-19,MG,Pendente,2
PED-0160,CLI-6424,Diego Souza,diego.souza53@gmail.com,Teclado Mecanico,TV e Video,10,4471.47,0.26,2024-03-20,Rio,Cancelado,2
PED-0161,CLI-8869,Ana Silva,ana.silva27@gmail.com,Notebook Dell,Mobile,,2770.83,0.34,31/03/2023,RJ,devolvido,N/A
PED-0162,CLI-5313,Elisa Ferreira,elisa.ferreira29@gmail.com,SSD 1TB,Mobile,5,501.13,0.03,2024-01-14,MG,Entregue,0
PED-0163,CLI-8803,ana silva,ana.silva92gmail.com,Webcam Logitech,TV e Video,4,2790.33,0.05,01-05-2024,rj,ENTREGUE,3
PED-0164,CLI-2097,Carla  Mendes,carla..mendes51@gmail.com,Samsung TV 55,Informatica,4,674.62,2.55,01-06-2023,rj,devolvido,0
PED-0165,CLI-2654,Carla  Mendes,carla..mendes45@gmail.com,Webcam Logitech,Eletronicos,7,790.73,0.23,2023-04-13,Sao Paulo,devolvido,3
PED-0166,CLI-8785,Fabio Lima,fabio.lima03@gmail.com,Mouse Logitech,Mobile,3,3110.31,0.34,06-12-2023,PR,Cancelado,2
PED-0167,CLI-4079,ana silva,ana.silva95@gmail.com,Fone JBL,Informatica,5,4872.39,0.21,02-03-2024,RS,entregue,5
PED-0168,CLI-8478,Fabio Lima,fabio.lima91@gmail.com,Monitor LG 24,Mobile,3,3913.56,0.25,2023-07-25,sp,Pendente,1
PED-0169,CLI-5237,Bruno Costa,,Fone JBL,Acessorios,8,2990.52,0.34,25/12/2023,S P,cancelado,4
PED-0170,CLI-1138, Diego Souza,diego.souza40@gmail.com,Mouse Logitech,Mobile,,149.26,0.36,16-05-2023,PR,Pendente,6
PED-0171,CLI-7131, Diego Souza,diego.souza78@gmail.com,Mouse Logitech,Informatica,8,1545.62,0.13,08-01-2023,sp,Entregue,
PED-0172,CLI-3292,BRUNO COSTA,bruno.costa38@gmail.com,Mouse Logitech,Acessorios,,982.38,0.23,18-02-2024,GO,entregue,4
PED-0173,CLI-3967,BRUNO COSTA,bruno.costa17@gmail.com,Teclado Mecanico,Informatica,9,3209.65,0.38,2023-11-04,rj,ENTREGUE,2
PED-0174,CLI-2929, Diego Souza,diego.souza75@gmail.com,Fone JBL,Acessorios,4,3733.84,0.35,24-09-2023,BA,Entregue,5
PED-0175,CLI-3954,BRUNO COSTA,bruno.costa43@gmail.com,Webcam Logitech,Eletronicos,3,729.96,0.0,2024-04-13,Sao Paulo,entregue,3
PED-0176,CLI-8821,Ana Silva,ana.silva69@gmail.com,Tablet Samsung,Informatica,8,3936.79,0.3,15/03/2024,SP,pendente,1
PED-0177,CLI-1749,Elisa Ferreira,elisa.ferreira59@gmail.com,Notebook Dell,Informatica,4,3482.95,0.36,2023-11-10,RS,Pendente,
PED-0178,CLI-4460, Diego Souza,diego.souza65@gmail.com,SSD 1TB,Acessorios,,866.17,0.15,18-08-2023,Sao Paulo,entregue,0
PED-0179,CLI-3024,BRUNO COSTA,bruno.costa90@gmail.com,Tablet Samsung,Eletronicos,,4973.67,0.12,29/04/2023,Sao Paulo,entregue,0
PED-0180,CLI-2741, Diego Souza,diego.souza26@gmail.com,Mouse Logitech,TV e Video,10,3518.6,0.28,01/05/2023,BA,pendente,1
PED-0181,CLI-9095,Bruno Costa,bruno.costa66gmail.com,Monitor LG 24,Mobile,,3456.61,0.18,2023-04-02,PR,cancelado,5
